attack,cnn_recall,aasist_recall,recall_absolute_difference_aasist_minus_cnn,recall_better,cnn_f1,aasist_f1,f1_absolute_difference_aasist_minus_cnn,f1_better,cnn_eer,aasist_eer,eer_absolute_difference_aasist_minus_cnn,eer_better
A07,1.0,0.974969474969475,-0.025030525030525053,CNN,0.9994915081867182,0.9738794592946438,-0.025612048892074357,CNN,6.798096532970769e-05,0.020236193043806895,0.020168212078477188,CNN
A08,0.9985754985754985,0.6829466829466829,-0.3156288156288156,CNN,0.9987787502544271,0.7986673012851023,-0.20011144896932476,CNN,0.0013582912291273928,0.13377685587066962,0.13241856464154222,CNN
A09,0.9782254782254782,0.9971509971509972,0.01892551892551897,AASIST,0.9884844746041538,0.9851226377161239,-0.0033618368880299343,CNN,0.002852101696425262,0.010355808554312954,0.007503706857887692,CNN
A10,0.5675620675620675,0.9835164835164835,0.41595441595441596,AASIST,0.7236637259989621,0.9782410687177411,0.25457734271877897,AASIST,0.027264475836875572,0.01752005327804105,-0.009744422558834523,AASIST
A11,0.7385022385022385,0.9987789987789988,0.2602767602767603,AASIST,0.8490875058493215,0.9859381277621535,0.13685062191283204,AASIST,0.015754318949424348,0.007164244723728093,-0.008590074225696255,AASIST
A12,0.3485958485958486,0.99002849002849,0.6414326414326414,AASIST,0.5165862484921593,0.9815393927166347,0.4649531442244754,AASIST,0.051032137537915925,0.014260508482126422,-0.036771629055789505,AASIST
A13,0.46194546194546193,1.0,0.5380545380545381,AASIST,0.6315203783558214,0.9865488857659105,0.35502850741008907,AASIST,0.033036660195055856,0.005127029226281445,-0.027909630968774413,AASIST
A14,0.9934879934879934,0.9993894993894994,0.0059015059015059546,AASIST,0.9962248750127538,0.9862435987548951,-0.009981276257858718,CNN,0.0022407157009468317,0.005908146288839703,0.0036674305878928717,CNN
A15,0.4568579568579569,0.9932844932844933,0.5364265364265364,AASIST,0.6267448352875489,0.9831805821331453,0.3564357468455964,AASIST,0.028690748031332675,0.012325043086429895,-0.01636570494490278,AASIST
A16,1.0,0.9755799755799756,-0.024420024420024444,CNN,0.9994915081867182,0.974192237350132,-0.02529927083658612,CNN,0.000577174166569135,0.021662465238263994,0.021085291071694857,CNN
A17,0.011396011396011397,0.2140822140822141,0.2026862026862027,AASIST,0.022512562814070353,0.34491803278688526,0.32240546997281494,AASIST,0.24144402693009084,0.21102131370656185,-0.03042271322352899,AASIST
A18,0.09523809523809523,0.726902726902727,0.6316646316646317,AASIST,0.1737516242806757,0.8287703016241299,0.6550186773434542,AASIST,0.13438824186614803,0.0707591373804834,-0.06362910448566464,AASIST
A19,0.9768009768009768,0.811965811965812,-0.1648351648351648,CNN,0.9877559419693384,0.8829387032529321,-0.10481723871640625,CNN,0.007911149957377,0.050454963371346785,0.04254381341396979,CNN
